סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת
2,אדרת,1123,609,443,0,443,10,1,18,2,0,0,0,0,0,0,95,0,0,0,0,0,35,0,2,202,3,0,0,0,0,1,0,0,24,1,0,0,0,0,0,0,0,0,49,0
10,אודים,446,833,617,3,614,67,0,4,1,0,3,0,0,0,0,19,0,5,0,0,0,92,0,14,69,56,0,2,0,0,0,0,0,271,0,1,0,0,0,0,0,4,0,6,0
3,אודם,4010,133,99,1,98,10,1,3,0,0,0,2,0,0,0,7,1,0,0,0,0,19,0,1,17,2,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,4,0,0,0
18,אוהד,1046,280,200,0,200,15,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,35,0,4,78,3,0,0,0,0,0,0,3,30,0,2,0,0,0,0,0,0,0,6,0
9,אום אלפחם,2710,38286,14657,207,14450,51,7,3,16,5472,5858,1,1,4,4,16,5,0,3,4,1,7,6,4,103,138,0,3,1,5,6,82,2529,18,5,7,27,2,2,5,0,5,3,39,7
9,אום אלקוטוף,2024,784,454,8,446,1,0,0,0,172,105,0,0,0,0,0,0,0,0,0,0,2,0,0,2,12,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,1,0,0,0
18,אום בטין,1358,2399,1300,11,1289,1,1,0,0,33,94,0,1,0,0,0,0,0,0,0,0,1,0,1,9,4,0,1,0,0,0,0,1136,1,1,0,0,0,1,0,0,1,0,1,2
5,אומן,1108,499,339,0,339,0,0,2,2,0,0,0,0,0,0,59,0,1,0,0,0,18,0,20,163,1,0,0,0,0,0,0,0,51,0,2,0,0,0,0,0,0,0,20,0
10,אומץ,680,537,398,1,397,42,1,4,1,0,0,0,0,0,0,12,0,2,0,0,0,72,0,6,46,31,0,0,0,1,0,0,0,172,0,0,0,0,0,0,0,1,0,6,0
18,אופקים,31,23916,16406,122,16284,116,21,89,2445,10,7,0,1,1,1,2585,0,37,0,0,0,530,0,608,5225,61,0,2,1,1,4,0,20,701,4,28,1,3,0,4,1,6,2,3765,4
3,אור הגנוז,1294,323,215,1,214,1,1,0,95,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,51,0
17,אור הנר,67,630,481,0,481,77,1,5,0,1,3,0,0,0,0,15,1,0,0,0,0,123,0,12,32,31,0,0,0,0,0,0,0,176,0,1,0,0,0,0,0,1,0,2,0
16,אור יהודה,2400,27640,20022,130,19892,331,49,89,133,3,10,0,0,1,0,2179,4,107,0,2,0,1535,0,279,9099,209,0,3,3,4,1,6,7,1977,3,36,1,1,2,2,6,119,0,3687,4
9,אור עקיבא,1020,17133,10955,76,10879,133,37,117,99,8,7,0,0,1,0,1288,1,30,2,1,1,615,19,812,5130,70,0,3,1,2,1,1,2,1284,2,20,1,0,1,0,4,16,6,1160,4
2,אורה,780,831,596,3,593,23,13,5,2,0,1,0,0,0,0,105,0,0,0,0,0,103,0,7,186,8,0,0,0,0,0,0,0,86,0,2,0,0,0,0,0,2,0,50,0
17,אורות,2012,443,326,2,324,43,0,2,1,0,0,0,0,0,0,12,0,1,0,0,0,68,0,1,45,26,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,2,0,2,0
3,אורטל,4013,269,176,1,175,29,0,4,0,0,0,0,0,0,0,8,0,1,0,0,0,53,0,4,11,10,0,0,0,0,0,0,0,50,0,1,0,0,0,0,0,3,0,1,0
18,אורים,403,463,249,2,247,53,3,1,0,0,5,0,0,0,0,10,0,1,0,0,0,41,1,1,18,24,0,0,0,0,1,0,0,83,1,1,0,0,0,0,0,0,0,2,1
19,אורנית,3760,6744,5080,16,5064,175,31,200,25,1,0,0,0,0,0,639,0,18,0,0,0,848,0,115,1317,76,0,0,0,1,1,0,0,1475,5,13,0,2,0,2,2,21,1,95,1
8,אושה,278,403,289,2,287,45,0,1,1,0,4,0,0,0,0,9,0,0,0,0,0,49,0,7,28,14,0,0,0,0,1,0,0,126,0,1,0,0,0,0,0,0,0,1,0
16,אזור,565,10054,6864,41,6823,250,24,74,60,1,6,0,0,1,0,733,1,27,0,0,0,746,0,191,2314,105,0,1,0,0,2,0,2,1424,1,12,2,3,0,1,2,16,1,821,2
17,אחווה,1157,181,137,0,137,9,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,31,0,5,28,7,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,2,0
17,אחוזם,821,404,291,1,290,0,0,0,3,0,0,0,0,0,0,55,0,1,0,0,0,12,0,0,158,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,56,0
5,אחוזת ברק,1330,1852,1353,4,1349,41,18,9,1,0,0,0,0,0,0,121,1,6,0,0,1,188,0,52,469,19,0,0,0,1,1,0,0,385,1,5,0,1,0,0,1,3,0,25,0
20,אחיהוד,785,714,544,4,540,2,0,6,8,0,0,0,0,0,0,174,0,3,0,0,0,18,0,0,242,1,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0,0,73,0
10,אחיטוב,850,743,552,1,551,17,0,2,2,0,2,0,0,0,0,68,0,3,0,0,0,147,0,4,179,4,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,33,2
12,אחיסמך,804,890,740,2,738,7,1,2,3,0,0,0,0,0,0,126,0,0,0,0,0,26,0,1,378,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,189,0
12,אחיעזר,797,1224,1050,5,1045,0,1,17,23,0,0,0,0,0,0,195,0,0,0,0,0,9,0,1,328,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,461,1
18,אטרש שבט,965,1803,604,6,598,2,0,0,0,2,54,0,0,0,0,0,1,0,0,0,0,1,0,0,6,2,0,0,0,0,0,0,521,2,0,0,0,0,0,2,0,1,0,1,3
17,איבים,338,188,65,0,65,1,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,17,0,0,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
19,אייל,716,410,333,0,333,73,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,40,0,8,14,38,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0
3,איילת השחר,77,826,590,2,588,131,1,7,3,0,0,0,0,0,0,23,0,2,0,0,0,115,0,19,56,44,0,0,0,0,0,0,0,176,1,0,0,0,0,0,0,3,0,6,1
6,אילון,294,878,638,0,638,69,1,4,1,1,6,0,0,0,0,23,0,5,0,0,0,71,0,16,89,151,0,0,0,0,0,0,0,188,0,1,0,0,0,0,0,10,0,2,0
18,אילות,1126,276,169,0,169,30,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,34,0,3,16,14,0,0,0,0,0,0,0,60,0,0,1,0,0,0,0,2,0,2,0
4,אילניה,49,459,296,4,292,16,0,4,2,0,0,0,0,0,0,27,0,1,0,0,0,52,0,6,89,9,0,0,0,0,1,0,0,82,0,0,0,0,0,0,0,0,0,3,0
18,אילת,2600,51974,22361,172,22189,409,59,112,144,45,81,3,4,1,1,2465,7,89,1,1,0,2259,7,1009,9687,274,2,17,1,5,13,1,57,3719,8,70,3,17,1,5,9,105,3,1488,7
13,אירוס,1336,531,427,0,427,17,1,3,1,0,1,0,0,0,0,31,0,3,0,0,0,91,1,18,111,19,0,0,0,0,0,0,0,123,0,1,0,0,0,0,0,1,0,5,0
19,איתמר,3762,676,492,0,492,0,1,14,5,0,0,0,0,0,0,429,0,0,0,0,0,1,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0
17,איתן,37,380,313,1,312,0,3,13,5,0,0,0,0,0,0,115,0,0,0,0,0,10,0,3,107,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,54,0
5,אכסאל,478,10342,5257,45,5212,3,4,0,14,989,2710,3,0,0,0,5,0,5,0,0,0,5,1,2,41,42,0,1,1,0,0,0,1339,29,0,3,6,0,1,2,1,2,0,2,1
18,אל סייד,1359,2028,1095,7,1088,4,0,0,2,18,27,0,0,1,0,0,0,0,0,0,1,1,0,0,52,2,0,0,0,0,1,0,968,5,1,0,0,0,0,0,2,1,0,1,1
9,אלעריאן,1316,131,100,0,100,0,0,0,0,23,44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,1,0,0,10,0
3,אלרום,4003,387,275,1,274,38,2,2,0,0,1,0,0,0,0,13,0,4,0,0,0,32,0,10,35,23,0,0,0,0,0,0,0,102,0,0,0,0,2,0,0,9,0,0,1
17,אלומה,1145,612,531,0,531,0,0,14,92,0,0,0,0,0,0,201,0,0,0,0,0,8,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,195,0
4,אלומות,330,333,228,1,227,36,1,3,0,0,0,0,0,0,0,7,0,2,0,0,0,37,0,3,45,19,0,0,0,0,0,0,0,72,0,1,0,0,0,0,0,0,0,1,0
5,אלון הגליל,1182,865,612,1,611,102,1,1,0,1,1,0,0,0,0,9,1,2,0,0,0,74,0,11,17,102,0,0,0,0,0,0,2,285,0,1,0,0,0,0,0,1,0,0,0
19,אלון מורה,3579,971,720,3,717,0,0,11,3,0,0,0,0,0,0,622,0,0,0,0,0,1,0,2,61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0
2,אלון שבות,3604,2286,1686,4,1682,12,11,396,12,0,0,0,0,0,0,802,0,0,0,0,0,124,0,14,249,4,0,0,0,0,1,0,0,28,3,2,0,0,0,0,0,2,0,22,0
5,אלוני אבא,429,744,545,0,545,62,3,1,0,0,2,0,0,0,0,12,0,1,0,0,0,84,0,6,40,46,0,0,0,0,0,0,2,280,0,1,0,0,0,0,0,3,0,2,0
3,אלוני הבשן,4017,237,162,0,162,1,0,29,1,0,0,0,0,0,0,71,0,1,0,0,0,10,0,1,40,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,1,0
9,אלוני יצחק,868,125,24,0,24,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
5,אלונים,285,521,395,2,393,93,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,54,0,4,28,21,1,1,0,0,0,0,0,175,0,0,0,0,0,1,0,2,0,1,0
4,אליעד,4002,330,244,1,243,30,3,5,0,0,1,0,0,0,0,31,0,1,0,0,0,53,0,5,24,15,0,0,0,0,0,0,1,72,0,0,0,0,0,0,0,1,0,1,0
17,אליאב,1365,331,276,1,275,24,3,38,1,0,0,0,0,0,0,27,0,1,0,0,0,87,0,5,27,10,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,2,0,2,0
10,אליכין,41,2663,2018,16,2002,54,13,20,33,0,0,0,0,0,0,305,1,9,0,0,0,164,0,15,860,25,0,0,0,0,0,0,0,194,1,3,0,1,0,0,0,10,1,293,0
18,אליפז,1248,121,81,1,80,8,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,4,7,11,0,0,0,0,0,0,0,33,0,1,0,0,0,0,1,0,0,0,0
3,אליפלט,730,504,391,0,391,2,0,6,8,0,0,0,0,0,0,65,0,3,0,0,0,28,0,0,227,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,37,1
5,אליקים,682,623,456,2,454,4,3,2,15,0,0,0,0,0,0,119,0,2,0,0,0,12,0,2,196,2,0,0,0,0,0,0,0,12,0,2,0,0,0,1,0,1,0,81,0
10,אלישיב,204,488,377,0,377,13,1,8,1,0,0,0,0,0,0,67,0,2,0,0,0,48,0,2,160,12,0,0,0,0,0,0,0,39,1,3,0,0,0,0,0,2,0,18,0
19,אלישמע,841,812,645,5,640,10,0,11,3,0,1,0,0,0,0,91,0,2,0,0,0,104,0,4,280,4,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,60,1
4,אלמגור,1125,300,220,0,220,34,0,1,0,1,1,0,0,0,0,5,1,1,0,0,0,33,0,4,6,24,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,4,0,0,0
2,אלמוג,3556,195,111,1,110,22,1,2,0,0,0,0,0,0,0,9,0,0,0,0,0,14,0,1,19,4,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
11,אלעד,1309,23395,19737,100,19637,9,14,43,6862,0,0,0,1,0,0,2207,0,3,0,0,0,29,1,7,661,4,0,0,0,0,0,0,2,20,2,20,0,2,1,1,1,1,0,9743,3
2,אלעזר,3618,1635,1203,2,1201,2,2,159,9,0,0,0,0,0,0,644,0,3,0,0,0,57,0,11,270,4,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,1,0,23,0
19,אלפי מנשה,3750,6017,4423,21,4402,126,16,66,33,0,2,0,0,0,0,493,0,23,0,0,2,621,0,138,1358,41,0,0,0,1,0,0,1,1342,0,7,1,0,0,0,0,20,0,110,1
6,אלקוש,603,256,170,0,170,2,0,0,0,0,0,0,0,0,0,45,0,1,0,0,0,8,0,0,76,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,26,0
19,אלקנה,3560,2797,2255,4,2251,6,8,406,13,0,0,0,0,0,0,1177,0,2,0,0,0,81,0,13,436,0,0,0,0,0,0,0,2,44,0,4,0,0,0,1,0,5,0,53,0
17,אמונים,772,735,528,2,526,23,0,7,5,0,1,0,0,0,0,44,0,9,0,0,0,94,0,4,163,7,0,0,0,0,0,0,0,94,0,1,1,0,0,1,0,2,0,70,0
3,אמירים,1064,628,381,1,380,35,0,6,5,0,8,0,0,0,0,52,1,0,0,0,0,30,0,5,29,51,0,0,0,1,1,0,0,121,0,0,0,3,0,0,0,29,0,3,0
4,אמנון,1253,353,246,0,246,5,0,5,1,0,0,0,0,0,0,45,0,2,0,0,0,33,0,9,83,8,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,4,0,6,0
17,אמציה,23,149,104,0,104,1,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,24,0,2,25,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0
4,אניעם,4012,445,263,1,262,17,2,4,2,0,1,0,0,0,0,22,0,0,0,0,0,31,0,6,68,7,0,0,0,1,0,0,0,84,1,0,0,1,0,0,0,9,0,6,0
18,אסד שבט,960,539,133,5,128,1,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,1,0,0,0,0,0,1,0,0,0,0,0
2,אספר,3754,465,352,2,350,0,0,10,144,0,0,0,0,0,0,134,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0
20,אעבלין,529,9638,5716,44,5672,61,1,6,4,1019,2743,1,2,0,0,12,4,0,0,0,12,6,1,11,134,166,1,2,0,1,0,0,1368,82,0,4,9,2,5,3,0,3,1,8,0
18,אעצם שבט,963,5320,2116,27,2089,3,0,0,2,15,313,0,0,0,1,0,0,1,0,2,1,1,1,1,20,5,1,1,1,1,1,1,1695,1,0,1,1,1,2,2,0,5,2,3,4
4,אפיק,4301,270,192,2,190,27,1,0,1,0,0,0,0,0,0,16,0,0,0,0,0,31,0,7,17,12,0,0,1,0,0,0,0,69,0,1,0,0,0,0,0,2,2,3,0
4,אפיקים,176,1068,707,2,705,223,2,5,1,0,1,0,0,1,0,15,1,5,0,0,0,84,0,19,37,52,0,0,0,0,1,0,1,249,0,0,0,0,0,0,0,4,0,4,0
8,אפק,313,544,418,2,416,66,1,1,1,0,0,0,0,0,0,11,0,0,0,0,0,74,0,4,29,29,0,1,0,0,0,0,0,193,0,0,1,0,0,0,0,1,0,3,1
2,אפרת,3650,7945,5798,15,5783,40,39,893,43,1,1,0,0,0,0,2779,1,13,0,0,0,397,1,65,1146,16,1,0,0,0,0,2,4,174,3,7,0,5,2,0,1,24,1,123,1
4,ארבל,701,497,370,1,369,24,0,1,1,0,0,0,0,0,0,59,0,1,0,0,0,79,0,4,119,9,0,0,0,0,0,0,0,65,1,0,0,0,0,0,0,1,0,5,0
5,ארגמן,3598,121,76,2,74,0,0,5,0,0,0,0,0,0,0,17,0,0,0,0,0,12,0,0,28,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0
17,ארז,714,473,322,1,321,45,0,1,0,0,0,0,0,0,0,16,1,3,0,0,0,75,0,7,16,33,0,0,0,0,1,0,0,120,0,1,0,0,0,0,0,2,0,0,0
19,אריאל,3570,15396,9516,96,9420,68,54,168,45,3,6,2,1,0,0,1771,5,54,2,0,1,566,3,1326,3822,43,1,2,1,3,2,0,6,1173,9,32,0,3,1,1,1,42,9,186,8
10,ארסוף,1324,147,80,0,80,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,2,10,10,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,1,0
18,אשבול,71,434,338,0,338,6,0,4,7,0,0,0,0,0,0,58,0,0,0,0,0,47,0,3,126,6,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,1,0,35,0
17,אשדוד,70,181784,117045,753,116292,1049,243,516,15637,26,23,5,3,3,6,10459,18,350,8,3,4,7678,9,12093,33635,542,12,29,7,25,25,11,30,14866,31,272,9,47,13,20,39,191,62,18254,39
4,אשדות יעקב איחוד,199,683,477,1,476,83,1,2,0,0,0,0,0,0,0,20,0,3,0,0,0,85,0,12,58,29,0,1,0,0,0,0,0,179,1,0,0,0,0,0,1,1,0,0,0
4,אשדות יעקב מאוחד,188,605,404,1,403,71,0,0,0,0,0,0,0,0,0,30,0,2,0,0,0,90,0,11,55,20,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,8,0,2,0
20,אשחר,1188,681,490,1,489,72,5,30,4,0,0,0,0,0,0,41,0,0,0,0,0,117,0,12,55,27,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,8,0,4,0
18,אשכולות,3722,374,284,0,284,3,2,8,0,0,0,0,0,0,0,42,0,1,0,0,0,50,0,4,94,1,0,0,0,0,1,0,0,73,0,0,0,0,0,0,0,4,0,1,0
18,אשל הנשיא,2021,111,64,0,64,1,2,1,1,0,0,0,0,0,0,10,0,1,0,0,0,9,0,3,20,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
18,אשלים,1152,437,305,2,303,20,2,5,0,0,0,1,0,0,0,32,0,1,0,0,0,51,0,12,76,19,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,6,0,3,0
17,אשקלון,7100,119846,74187,585,73602,880,217,477,780,25,22,3,3,6,4,9762,21,319,5,3,7,5323,15,7785,29212,446,12,23,8,18,22,6,29,8992,24,173,5,32,6,27,27,172,33,8649,29
6,אשרת,1256,470,342,1,341,11,3,6,3,0,0,0,0,0,0,48,1,1,0,0,0,41,0,6,146,5,0,1,0,0,1,0,0,54,0,0,0,0,0,0,0,0,0,14,0
2,אשתאול,740,757,599,1,598,21,2,7,14,0,1,0,0,0,0,101,0,2,0,0,0,35,0,9,239,23,0,0,0,0,0,0,0,53,0,1,0,0,0,0,0,3,0,87,0
9,באקה אלגרביה,6000,20643,9815,144,9671,20,4,0,1,4893,2165,2,0,0,1,8,0,0,1,1,1,144,3,0,39,119,0,1,2,2,2,1,2181,24,0,4,29,2,1,1,4,5,0,6,4
18,באר אורה,21,732,495,1,494,26,2,3,0,1,1,0,0,0,0,26,0,3,0,0,0,67,0,21,165,20,0,0,0,0,0,0,1,141,0,2,0,0,0,0,0,5,0,10,0
17,באר גנים,1376,1172,975,1,974,5,6,35,15,0,0,0,0,0,0,321,0,1,0,0,0,59,0,9,350,0,0,0,0,0,0,0,0,32,0,2,0,1,0,0,0,1,0,137,0
17,באר טוביה,155,849,673,1,672,51,1,2,1,0,1,0,0,0,0,27,0,5,0,0,0,160,0,18,70,46,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,7,0,10,0
12,באר יעקב,2530,18146,14109,53,14056,303,66,73,138,5,2,0,1,0,1,1706,0,72,0,0,2,1830,1,411,4947,142,1,4,1,8,2,1,5,3019,4,30,0,2,0,0,4,29,7,1238,1
18,באר מילכה,1278,113,93,0,93,13,1,3,0,0,1,0,0,0,0,11,0,2,0,0,0,12,0,2,11,15,0,0,0,0,1,0,1,17,0,0,0,0,0,0,0,3,0,0,0
18,באר שבע,9000,164728,101001,798,100203,1885,380,741,1448,180,333,4,7,5,6,15703,19,379,5,5,13,7506,28,7974,40382,961,50,47,9,30,47,11,325,12032,37,212,13,50,8,25,24,243,37,8993,46
11,בארות יצחק,450,384,262,2,260,7,0,69,1,0,0,0,0,0,0,65,0,0,0,0,0,48,1,1,36,2,0,0,0,0,0,0,0,25,0,1,0,1,1,0,0,0,0,2,0
10,בארותיים,697,754,585,2,583,54,2,7,3,0,0,0,0,0,0,26,0,4,0,0,0,89,0,17,71,32,0,0,0,0,0,0,0,264,0,0,0,1,1,0,0,9,0,3,0
18,בארי,399,859,663,2,661,232,1,1,1,0,4,0,0,0,0,8,0,1,0,0,0,83,0,4,19,109,0,1,0,0,1,0,0,189,0,0,0,0,0,0,0,7,0,0,0
6,בוסתן הגליל,559,748,563,1,562,30,1,4,3,0,0,0,1,0,0,54,0,5,0,0,0,89,0,9,146,16,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,3,0,30,0
5,בועיינהנוגידאת,482,7076,4000,76,3924,23,1,0,0,948,581,2,2,0,1,2,0,0,0,0,2,2,2,0,66,23,0,1,0,1,0,2,2191,44,0,0,0,0,1,1,0,0,0,28,0
