סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס,
18,אליפז,1248,113,74,1,73,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,49,0,0,0,0,0,0,0,
3,אליפלט,730,468,349,1,348,5,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,262,0,0,0,3,0,37,0,0,0,0,0,0,30,
5,אליקים,682,586,423,3,420,10,20,0,0,0,0,13,0,0,0,0,0,0,0,0,5,261,0,0,0,5,0,28,0,0,0,0,0,0,78,
10,אלישיב,204,469,350,0,350,12,2,0,0,0,0,26,0,0,0,0,0,0,0,1,1,191,0,0,0,3,0,87,0,0,0,0,0,0,27,
19,אלישמע,841,812,632,5,627,22,2,2,2,0,0,30,0,0,0,0,0,0,0,0,4,313,1,0,0,2,0,185,1,0,0,0,0,0,63,
4,אלמגור,1125,294,219,0,219,26,0,5,0,0,0,5,0,0,0,0,0,0,0,0,5,7,0,0,0,2,0,169,0,0,0,0,0,0,0,
2,אלמוג,3556,193,135,1,134,31,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,26,1,0,0,0,0,68,0,0,0,0,0,0,0,
11,אלעד,1309,20909,17906,90,17816,11,6571,0,5,0,0,696,0,0,0,0,0,0,1,0,6,1380,0,0,1,116,0,44,0,0,0,0,0,7,8978,
2,אלעזר,3618,1468,1157,3,1154,6,18,1,0,0,0,725,0,0,0,0,0,0,1,0,6,335,0,0,0,13,0,34,0,0,0,0,0,0,15,
19,אלפי מנשה,3750,5820,4293,16,4277,175,41,3,5,0,0,216,0,0,0,0,1,0,0,0,218,1635,6,0,0,16,0,1855,2,0,1,1,0,2,100,
6,אלקוש,603,242,148,1,147,8,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,85,0,0,0,0,0,28,0,0,0,0,0,0,21,
19,אלקנה,3560,2536,2100,3,2097,6,39,1,1,0,0,1301,0,0,0,0,0,0,0,0,3,576,1,0,0,44,0,84,1,0,0,0,0,1,39,
17,אמונים,772,713,512,1,511,22,4,1,0,0,0,13,0,0,0,0,0,0,0,0,17,204,0,0,0,2,0,203,0,0,0,0,0,0,45,
3,אמירים,1064,609,409,2,407,86,3,13,2,0,0,44,0,0,0,0,0,0,0,0,7,43,2,0,0,0,0,203,0,0,0,0,0,0,4,
4,אמנון,1253,305,224,0,224,18,3,0,0,0,0,14,0,0,0,0,0,0,0,0,15,99,1,0,0,1,0,63,0,0,0,0,0,0,10,
17,אמציה,23,185,133,0,133,4,3,0,0,0,0,49,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,30,0,0,0,0,0,0,3,
4,אניעם,4012,445,272,0,272,18,1,1,0,0,0,11,0,0,0,0,0,0,0,0,4,86,0,0,0,2,0,144,0,0,0,0,0,0,5,
18,אסד שבט,960,493,131,1,130,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,7,0,1,1,0,0,0,0,
2,אספר,3754,376,282,1,281,0,146,0,0,0,0,77,0,0,0,0,0,0,0,0,0,21,0,0,0,10,0,0,0,0,0,0,0,0,27,
6,אעבלין,529,9104,6232,49,6183,144,2,5655,1,0,0,2,0,0,3,0,0,0,1,3,115,65,0,2,1,1,2,167,0,2,2,3,2,5,5,
18,אעצם שבט,963,4690,2036,5,2031,3,0,1994,0,0,0,2,1,0,0,1,0,0,0,0,1,2,0,1,1,1,1,8,0,3,1,2,1,5,3,
4,אפיק,4301,259,176,0,176,34,0,1,0,0,0,5,0,0,0,0,0,0,0,0,11,21,0,0,0,3,0,101,0,0,0,0,0,0,0,
4,אפיקים,176,1086,733,2,731,213,0,7,0,0,0,10,0,0,0,0,1,0,1,0,13,46,0,0,0,2,1,433,1,0,0,0,0,0,3,
8,אפק,313,507,388,3,385,78,0,4,0,0,0,9,0,0,0,0,0,0,0,0,6,23,0,0,0,0,0,263,0,0,0,0,0,0,2,
2,אפרת,3650,7271,5481,11,5470,52,95,3,6,1,0,2884,0,0,0,0,0,0,12,2,18,1902,18,0,1,68,0,300,5,0,0,0,1,0,102,
4,ארבל,701,452,335,0,335,31,3,0,0,0,0,8,0,0,0,0,0,0,0,0,12,132,1,0,0,1,0,141,0,0,0,0,0,0,6,
5,ארגמן,3598,124,86,0,86,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,52,0,0,0,2,0,24,0,0,0,0,0,0,4,
17,ארז,714,441,316,3,313,103,0,1,0,0,0,6,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,171,0,0,0,0,0,0,1,
19,אריאל,3570,15146,9694,88,9606,119,112,10,24,0,0,950,1,2,0,1,0,1,0,0,1827,5033,6,2,0,71,0,1242,11,1,0,0,0,13,180,
10,ארסוף,1324,123,72,1,71,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,41,0,0,0,0,0,0,0,
18,אשבול,71,420,322,4,318,14,2,0,0,0,0,19,0,0,0,0,0,1,0,0,6,178,0,0,0,1,0,65,0,0,0,1,0,0,31,
17,אשדוד,70,179046,118313,694,117619,2109,13731,64,58,8,0,3124,9,6,4,5,8,11,8,27,19414,43073,54,10,7,400,11,18374,32,22,20,9,10,17,16994,
4,אשדות יעקב  איחוד,199,658,471,0,471,86,0,1,0,0,0,19,0,0,0,0,0,0,0,0,13,55,0,2,1,1,0,291,1,0,0,0,0,0,1,
4,אשדות יעקב  מאוחד,188,520,362,0,362,73,0,0,0,0,0,20,0,0,0,0,0,0,0,0,17,58,0,0,0,0,0,191,0,0,0,0,0,1,2,
6,אשחר,1188,620,467,1,466,91,2,2,0,0,0,100,0,0,0,0,0,0,0,0,17,79,2,0,0,2,0,169,0,0,0,0,0,0,2,
18,אשכולות,3722,338,250,0,250,12,1,0,1,0,0,18,0,0,0,0,0,0,0,0,13,125,1,0,0,0,0,77,0,0,0,0,0,0,2,
18,אשל הנשיא,2021,114,73,0,73,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,27,0,0,0,0,0,0,0,
18,אשלים,1152,409,300,1,299,40,3,2,0,0,0,22,0,0,0,0,0,0,0,0,18,82,0,0,0,2,0,127,0,0,0,0,0,0,3,
17,אשקלון,7100,114443,72538,466,72072,1592,1268,70,54,8,0,3001,15,6,0,2,7,10,14,19,11627,34677,40,10,7,403,4,11749,22,12,30,14,13,20,7378,
6,אשרת,1256,429,310,1,309,19,4,1,0,0,0,12,0,0,0,0,0,0,0,1,19,176,0,0,0,0,0,66,0,0,0,0,0,0,11,
2,אשתאול,740,749,605,2,603,35,20,1,1,0,0,29,0,0,0,0,0,0,0,0,7,306,0,0,0,6,0,101,0,0,0,0,0,0,97,
9,באקה אלגרביה,6000,19193,11879,67,11812,65,0,11553,0,0,0,11,0,2,14,1,3,0,1,1,0,21,3,10,1,0,13,73,1,2,2,1,0,5,29,
18,באר אורה,21,593,446,1,445,34,2,6,0,0,0,12,0,0,0,0,0,0,0,0,38,139,0,1,0,0,0,197,0,0,0,0,0,0,16,
17,באר גנים,1376,904,759,2,757,8,15,0,0,0,0,173,0,0,0,0,0,0,0,0,3,411,0,0,0,16,0,43,0,0,0,0,0,0,88,
17,באר טוביה,155,808,643,2,641,76,0,2,0,0,0,14,0,0,0,0,0,0,0,0,11,76,0,0,0,1,0,453,0,0,0,0,0,0,8,
12,באר יעקב,2530,16522,12689,54,12635,453,191,15,10,0,0,393,0,0,0,0,0,0,1,4,515,5490,5,2,1,48,1,4489,0,1,1,2,3,3,1007,
18,באר שבע,9000,161968,100051,785,99266,3329,1360,770,87,10,0,4442,29,9,2,5,8,8,14,24,11804,49801,76,5,7,457,9,17984,26,9,35,19,16,61,8860,
11,בארות יצחק,450,396,280,5,275,13,2,2,1,0,0,126,0,0,0,0,0,0,0,0,3,57,2,0,0,1,0,66,0,1,0,0,0,0,1,
10,בארותיים,697,700,543,1,542,70,4,2,0,0,0,21,0,0,0,0,0,0,0,0,13,77,1,2,0,0,1,349,0,0,0,0,0,0,2,
18,בארי,399,852,669,0,669,291,1,9,0,0,0,9,0,0,0,0,0,0,0,0,14,27,0,0,0,0,0,318,0,0,0,0,0,0,0,
6,בוסתן הגליל,559,713,551,1,550,46,0,0,2,0,0,9,0,0,0,0,0,0,0,0,11,182,0,0,0,1,0,279,0,0,0,0,0,0,20,
5,בועיינהנוגידאת,482,6562,4323,26,4297,114,1,4007,0,0,0,5,0,0,3,1,0,0,0,0,0,26,1,0,0,1,2,118,2,0,2,1,1,3,9,
3,בוקעאתא,4001,567,76,0,76,12,0,2,0,0,0,16,0,0,0,0,0,0,0,1,4,18,0,0,0,0,0,20,0,0,0,0,0,0,3,
10,בורגתה,698,803,617,0,617,48,0,3,0,0,0,13,0,0,0,0,0,1,0,0,12,131,0,0,0,1,0,392,0,0,0,0,0,0,16,
10,בחן,2043,591,461,0,461,85,0,4,0,0,0,7,0,0,0,0,0,0,0,0,12,37,0,0,0,0,0,315,0,0,0,0,0,0,1,
18,בטחה,762,609,476,3,473,5,7,0,0,0,0,32,0,0,0,0,0,0,0,0,2,300,0,0,0,3,0,34,0,0,0,0,0,0,90,
17,ביצרון,234,889,715,4,711,74,4,2,0,0,0,14,0,0,0,0,0,0,0,0,12,107,0,0,0,2,0,494,0,0,0,0,0,0,2,
6,ביר אלמכסור,998,6487,3582,21,3561,163,0,2876,0,0,0,3,0,0,3,0,0,0,1,0,8,140,0,1,0,2,3,349,2,3,0,1,0,3,3,
18,ביר הדאג,1348,1213,924,3,921,0,0,910,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,2,1,0,
3,ביריה,368,596,429,0,429,10,18,0,0,0,0,29,0,0,0,0,0,0,0,0,3,261,0,0,0,4,0,36,0,0,0,0,0,0,68,
9,בית אורן,317,321,208,1,207,50,1,1,1,0,0,4,0,0,0,0,0,0,0,0,1,22,0,0,0,1,0,125,0,0,0,0,1,0,0,
2,בית אל,3574,3360,2692,9,2683,4,176,2,2,0,0,1811,0,1,0,0,0,0,1,0,3,525,1,0,0,79,0,5,0,0,0,0,0,0,73,
13,בית אלעזרי,562,1047,825,2,823,73,6,3,2,0,0,18,0,0,0,0,0,0,0,0,20,246,0,0,0,6,0,438,1,0,0,0,0,0,10,
5,בית אלפא,95,598,416,1,415,101,0,4,2,0,0,9,0,0,0,0,0,0,0,0,7,21,0,0,0,0,0,265,1,0,0,0,0,0,5,
19,בית אריה,3652,3633,2648,7,2641,59,24,1,8,0,0,238,0,0,0,0,0,0,0,0,109,1453,2,0,0,17,0,631,3,0,0,0,0,1,95,
6,בית גן,480,8713,4311,34,4277,948,5,432,0,0,0,3,1,0,1,2,0,0,2,5,586,316,4,1,0,3,2,1950,3,0,0,0,0,6,7,
17,בית גוברין,619,290,230,1,229,68,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,145,0,0,0,0,0,0,0,
13,בית גמליאל,571,774,608,0,608,6,17,1,1,0,0,277,0,0,0,0,0,0,0,0,7,206,1,0,0,7,0,54,0,0,0,0,0,0,31,
12,בית דגן,466,5109,3832,19,3813,139,61,4,3,0,0,167,0,0,0,0,0,0,0,0,103,1996,2,0,0,19,1,995,0,0,1,0,1,2,319,
18,בית הגדי,723,575,471,2,469,2,17,0,1,0,0,30,0,0,0,0,0,0,0,0,1,366,0,0,0,5,0,2,0,0,0,0,0,0,45,
10,בית הלוי,373,538,426,2,424,69,1,3,1,0,0,5,0,0,0,0,0,0,0,0,15,51,0,1,0,0,0,275,1,0,0,0,0,0,2,
3,בית הלל,322,559,390,3,387,63,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,37,1,0,0,0,0,274,0,0,0,0,0,0,3,
6,בית העמק,572,501,337,0,337,113,0,3,1,0,0,1,0,0,0,0,0,0,0,0,14,18,0,0,0,0,1,186,0,0,0,0,0,0,0,
2,בית הערבה,3645,175,142,0,142,5,0,0,0,0,0,28,0,0,0,0,0,0,0,0,10,55,0,0,0,0,0,41,0,0,0,0,0,0,3,
5,בית השיטה,242,1045,761,5,756,146,2,1,0,0,0,22,0,0,0,0,0,0,0,0,11,62,0,0,0,1,0,508,0,0,0,0,1,0,2,
5,בית זיד,353,113,74,1,73,19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,41,0,0,5,1,0,0,1,
2,בית זית,710,1185,875,0,875,198,8,8,3,0,0,57,0,0,0,0,0,0,0,0,14,170,0,0,0,2,0,401,0,0,0,0,0,0,14,
4,בית זרע,143,603,372,0,372,117,1,2,0,1,0,4,0,0,0,0,0,0,0,0,5,20,0,0,0,1,0,221,0,0,0,0,0,0,0,
2,בית חורון,3575,826,689,2,687,6,12,0,0,0,0,274,0,0,0,0,0,0,0,0,10,310,0,0,0,6,0,26,0,0,0,0,0,0,43,
10,בית חירות,877,610,470,1,469,103,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,8,1,0,0,0,0,346,1,0,0,0,0,0,0,
13,בית חלקיה,2033,455,378,2,376,1,349,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,8,
13,בית חנן,159,521,402,0,402,52,0,2,0,0,0,8,0,0,0,0,0,0,0,0,10,60,0,0,0,0,0,268,0,0,0,0,0,0,2,
9,בית חנניה,800,612,461,0,461,48,1,3,1,0,0,10,0,0,0,0,0,0,0,0,21,59,0,0,0,1,0,311,1,0,0,0,0,0,5,
12,בית חשמונאי,1050,1486,1122,0,1122,83,2,1,1,0,0,35,0,0,0,0,0,0,0,0,26,431,0,0,0,3,0,520,1,0,0,0,1,0,18,
10,בית יהושע,288,713,536,2,534,85,2,1,2,0,0,13,0,0,0,0,0,0,0,0,7,65,1,0,0,0,0,357,0,0,0,0,0,0,1,
5,בית יוסף,265,367,251,1,250,9,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,179,0,0,0,2,1,17,0,0,0,0,0,0,34,
