סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
13,מזכרת בתיה,28,10432,7973,28,7945,653,35,7,2,0,0,36,557,1,6,1,0,1,0,1,130,357,2121,385,3,1,0,3457,1,8,0,1,1,1,5,1,173
3,יסוד המעלה,29,1230,874,7,867,63,3,1,0,0,0,4,58,0,0,0,0,0,0,0,3,36,175,70,0,0,0,443,0,0,3,0,0,0,1,0,7
18,אופקים,31,21413,14236,134,14102,488,2202,12,8,1,0,14,606,2,10,0,1,1,0,3,365,1216,4886,53,5,2,0,980,2,15,1,1,5,1,3,2,3217
17,עוצם,32,434,344,2,342,6,5,0,0,0,0,3,9,0,0,0,0,0,0,0,7,4,109,0,0,0,0,8,0,0,0,0,0,0,0,0,191
9,בת שלמה,33,435,338,0,338,41,2,1,0,0,0,2,16,0,0,0,0,0,0,0,4,10,47,49,0,0,0,161,0,0,0,0,0,0,0,0,5
3,גדות,35,371,242,1,241,35,0,1,0,1,0,0,3,0,1,0,0,0,0,0,1,5,10,44,0,0,0,140,0,0,0,0,0,0,0,0,0
17,שדה דוד,36,415,314,1,313,12,5,1,0,0,0,17,12,0,0,0,0,0,0,0,7,7,142,2,0,0,0,57,1,0,0,0,0,0,0,0,50
17,איתן,37,354,281,0,281,2,9,0,0,0,0,4,25,0,0,0,0,0,0,0,43,0,145,0,0,0,0,7,0,1,0,0,0,0,1,0,44
2,גפן,39,266,213,2,211,5,6,0,0,0,0,4,13,0,0,0,0,0,0,0,2,2,109,2,0,0,0,16,0,0,0,0,0,0,0,0,52
10,אליכין,41,2595,1983,11,1972,87,43,0,1,0,0,7,131,1,4,0,0,0,0,0,52,57,954,29,0,0,0,338,0,1,0,0,0,1,0,0,266
3,מטולה,43,1416,837,4,833,89,3,0,0,0,0,6,33,0,1,0,0,0,0,0,10,42,140,63,0,0,0,433,0,0,1,0,1,1,1,0,9
17,זוהר,44,265,199,0,199,6,8,0,0,0,0,6,10,0,0,0,0,0,0,0,1,3,119,1,0,0,0,23,0,0,0,0,0,0,0,0,22
4,יבנאל,46,2496,1787,5,1782,45,66,3,0,0,0,3,58,1,3,0,0,0,0,0,76,29,410,28,0,0,0,308,0,2,0,0,0,1,0,8,741
4,כפר תבור,47,3343,2435,3,2432,208,6,10,1,0,0,3,136,0,1,0,0,0,0,0,17,130,549,127,0,0,0,1212,0,2,3,0,0,0,0,4,23
4,מנחמיה,48,932,593,2,591,39,16,2,0,0,0,4,24,1,0,0,0,0,0,0,21,22,269,8,0,1,0,162,1,0,1,0,0,0,0,3,17
4,אילניה,49,460,310,0,310,20,1,1,0,0,0,10,18,0,0,0,0,0,0,0,3,14,102,14,0,0,0,121,0,1,0,0,0,0,0,2,3
2,לוזית,52,451,340,1,339,16,8,2,1,0,0,10,22,0,1,0,0,0,0,0,6,8,137,14,0,0,0,63,0,0,0,0,0,0,0,0,51
9,עתלית,53,5675,4063,24,4039,265,38,20,1,0,0,2,157,0,2,3,1,0,0,1,50,175,1392,196,2,1,0,1551,0,2,1,0,0,0,0,4,175
17,נוגה,55,407,279,1,278,20,0,0,0,0,0,79,13,0,0,0,0,0,0,0,4,7,111,0,0,0,0,28,0,1,0,0,0,0,0,0,15
4,כנרת (קבוצה),57,632,439,0,439,83,0,0,0,0,0,1,4,0,1,0,0,0,0,0,5,17,45,32,0,0,0,248,0,0,1,0,0,0,0,2,0
4,מצפה,58,136,94,0,94,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,20,5,0,0,0,53,0,0,0,0,0,0,0,0,0
2,נחושה,59,769,596,3,593,13,9,0,0,0,0,2,340,0,0,0,0,0,0,0,35,2,119,2,0,0,0,48,0,0,0,0,0,0,0,0,23
4,דגניה א',62,514,335,0,335,78,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,4,20,48,0,0,0,178,0,0,0,0,0,0,0,0,1
4,כנרת (מושבה),63,522,363,2,361,33,3,2,1,0,0,0,12,0,0,0,0,0,0,0,0,7,110,21,0,0,0,170,0,0,0,0,0,0,0,2,0
12,יד רמב''ם,64,848,638,0,638,24,9,0,0,0,0,60,35,0,0,0,0,0,0,0,14,13,328,4,0,0,0,83,0,0,0,0,0,0,0,0,68
4,מגדל,65,1390,914,4,910,36,28,5,0,0,0,1,43,1,1,0,0,0,0,0,43,22,465,7,0,0,0,106,0,0,1,0,0,0,0,8,143
5,מרחביה (קיבוץ),66,891,639,2,637,54,1,2,0,0,0,1,17,1,0,0,0,0,0,0,6,43,117,113,0,0,0,277,0,0,0,0,0,0,0,0,5
17,אור הנר,67,614,473,1,472,97,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,22,23,50,0,0,0,274,0,0,0,0,0,0,0,0,0
18,ניר עוז,69,325,225,1,224,27,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,13,77,0,0,0,96,0,2,0,1,0,0,0,0,1
17,אשדוד,70,178302,116800,808,115992,3177,13627,35,33,11,0,171,3689,11,89,22,9,11,0,21,1703,20902,36221,691,32,14,0,18956,22,88,2,11,43,15,18,68,16300
18,אשבול,71,408,313,0,313,39,1,0,0,0,0,7,17,0,0,0,0,0,0,0,7,8,136,4,0,0,0,68,1,0,0,0,0,0,0,0,25
9,גן שמואל,72,875,684,0,684,53,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,3,9,304,0,0,0,309,1,0,0,0,0,0,0,0,0
9,עין הוד,74,496,358,1,357,27,2,9,0,0,0,0,7,0,0,0,0,0,0,0,0,12,17,116,0,0,0,166,0,0,0,0,0,1,0,0,0
3,כפר גלעדי,76,567,355,0,355,56,1,0,0,0,0,1,6,0,1,0,0,0,0,0,1,14,18,42,0,0,0,213,0,0,0,0,0,0,0,0,2
3,איילת השחר,77,814,567,1,566,110,3,0,0,1,0,4,6,0,0,0,0,0,0,0,0,29,44,73,1,0,0,291,0,0,0,0,0,0,1,2,1
2,קרית ענבים,78,306,209,0,209,39,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,17,40,0,0,0,100,0,0,0,0,0,0,0,0,1
4,דגניה ב',79,556,404,2,402,73,2,0,1,0,0,1,8,0,0,0,0,0,0,0,1,5,31,59,0,0,0,220,0,0,0,0,0,0,0,1,0
5,נהלל,80,742,560,2,558,55,1,1,0,0,0,2,8,0,1,0,0,0,0,0,0,24,46,62,0,0,0,356,1,0,0,0,0,0,0,0,1
5,עין חרוד (מאוחד),82,674,497,0,497,122,4,1,0,0,0,2,13,0,0,0,1,0,0,0,1,15,22,61,0,0,0,252,0,0,2,0,0,0,0,0,1
5,תל יוסף,84,372,275,3,272,55,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,6,9,35,0,0,0,155,0,0,0,0,0,0,0,0,2
5,כפר יחזקאל,85,729,585,0,585,71,0,3,0,0,0,5,15,0,1,0,0,0,0,0,4,28,57,42,0,0,0,357,0,0,0,0,0,0,0,0,2
5,גבע,86,522,380,0,380,128,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,4,11,47,0,0,0,185,0,0,0,0,0,0,0,0,0
5,עין חרוד (איחוד),89,519,376,1,375,61,1,1,0,0,0,0,6,0,1,0,0,0,0,0,2,13,15,39,0,0,0,236,0,0,0,0,0,0,0,0,0
5,חפצי-בה,90,566,432,1,431,79,0,1,0,0,0,0,12,0,0,0,0,0,0,0,1,10,68,48,0,0,0,209,0,0,1,0,0,0,0,0,2
5,גיניגר,92,536,384,2,382,64,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,12,31,81,0,0,0,187,0,0,1,0,0,0,0,0,0
5,בלפוריה,94,393,322,0,322,32,3,0,0,0,0,9,19,0,1,0,0,0,0,0,3,26,51,18,0,0,0,156,0,0,0,0,0,0,0,0,4
5,בית אלפא,95,592,425,3,422,54,4,2,0,0,0,1,7,0,1,0,0,1,0,0,1,8,12,102,0,0,0,222,0,0,0,0,0,0,0,2,5
8,יגור,96,1343,936,2,934,220,2,1,0,1,0,1,9,0,0,0,0,0,0,0,2,23,44,108,0,0,0,519,2,0,0,0,1,0,0,0,1
5,מרחביה (מושב),97,563,429,5,424,35,5,2,0,0,0,26,12,0,0,0,0,0,0,0,4,11,65,32,0,0,0,229,0,0,0,0,0,0,0,0,3
19,כפר מל''ל,98,285,232,0,232,28,0,0,0,0,0,32,4,0,0,0,0,0,0,0,2,2,31,32,0,0,0,101,0,0,0,0,0,0,0,0,0
18,מצפה רמון,99,3673,2092,17,2075,168,122,40,0,0,0,1,215,0,7,0,0,1,0,0,88,224,643,186,2,1,0,308,1,1,0,3,0,1,1,1,61
9,מאיר שפיה,102,118,63,1,62,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,18,4,0,0,0,24,0,0,0,0,0,0,1,0,0
5,תל עדשים,103,846,658,1,657,59,7,2,0,0,0,5,21,0,0,0,0,0,0,0,3,31,127,43,0,0,0,357,0,0,0,0,0,0,0,0,2
5,מזרע,104,683,488,1,487,45,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,11,17,164,0,0,0,244,0,0,0,0,0,0,0,0,0
5,כפר גדעון,106,182,140,0,140,5,61,0,0,0,0,2,8,0,0,0,0,0,0,0,3,2,29,0,0,0,0,9,0,0,0,0,0,0,0,0,21
17,כפר סילבר,107,97,35,0,35,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6,1,0,0,0,23,0,0,0,0,0,0,0,0,0
8,כפר חסידים א',112,516,393,1,392,19,18,0,0,0,0,1,76,0,0,0,0,0,0,1,12,13,73,9,1,0,0,152,0,0,0,0,0,0,0,0,17
5,אדירים,113,230,191,0,191,2,8,0,0,0,0,1,13,0,1,0,0,0,0,0,9,2,84,0,0,0,0,9,0,0,0,0,0,0,0,0,62
10,חופית,115,737,521,0,521,29,2,1,0,1,0,0,15,0,1,0,0,0,0,0,0,17,42,89,0,0,0,324,0,0,0,0,0,0,0,0,0
5,רמת ישי,122,5665,4199,9,4190,345,15,1,0,1,0,2,152,0,3,0,0,0,0,0,50,226,1044,235,0,0,0,2058,1,1,1,1,3,1,0,2,48
5,שריד,126,752,549,3,546,66,1,2,0,0,0,0,6,0,0,0,0,0,0,0,3,26,25,158,0,0,0,255,1,0,0,0,0,0,0,1,2
1,רמת רחל,127,358,284,0,284,37,0,0,0,0,0,0,6,0,1,0,0,0,0,0,3,10,23,27,0,0,0,175,0,0,0,0,0,0,0,0,2
11,גת רימון,128,198,147,0,147,13,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,8,29,15,1,1,0,66,0,0,0,0,0,0,0,0,3
5,משמר העמק,130,951,719,0,719,132,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,16,268,0,0,0,291,1,0,0,0,0,0,0,1,0
5,כפר ברוך,132,362,291,0,291,34,1,0,0,0,0,1,3,0,0,0,0,1,0,0,3,10,72,10,0,0,0,155,0,0,0,0,0,0,0,0,1
5,גבת,133,681,560,1,559,116,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,8,18,96,0,0,0,316,0,0,0,0,0,0,0,0,0
5,יפעת,134,826,636,11,625,117,0,3,0,0,0,0,8,0,0,0,0,0,0,0,5,21,60,90,0,0,0,318,0,0,0,0,0,0,0,0,3
5,רמת דוד,135,355,288,2,286,41,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,6,21,45,0,0,0,166,0,0,0,0,0,0,0,0,0
9,עין שמר,139,587,428,1,427,52,0,0,0,0,0,0,7,0,3,0,0,0,0,0,2,10,13,149,0,1,0,189,0,0,0,0,0,0,0,0,1
5,כפר יהושע,140,828,654,0,654,63,0,2,0,2,0,10,10,0,1,0,0,0,0,1,1,21,38,100,0,0,0,403,0,0,0,0,1,0,0,0,1
5,ברק,141,306,227,1,226,25,1,0,0,0,0,3,11,0,1,0,0,0,0,0,0,5,92,0,0,0,0,83,0,0,0,0,0,0,0,0,5
5,שדה יעקב,142,626,494,0,494,25,7,0,0,0,0,10,225,0,0,0,0,0,0,0,18,6,123,6,0,0,0,65,0,0,0,0,0,0,0,0,9
4,בית זרע,143,609,375,0,375,46,1,1,0,0,0,1,6,0,0,0,0,0,0,0,0,9,13,116,0,0,0,180,0,0,0,1,0,0,0,0,1
13,גן שלמה,144,398,319,1,318,63,0,1,0,0,0,1,3,0,2,0,0,0,0,0,2,2,10,66,0,0,0,166,1,0,0,0,0,0,0,0,1
5,גדיש,145,275,188,0,188,5,2,0,0,0,0,0,10,0,0,0,0,0,0,0,8,1,144,0,0,0,0,6,0,0,0,0,0,0,0,0,12
5,דבורה,146,230,165,0,165,24,0,1,0,0,0,0,6,0,1,0,0,0,0,0,2,6,35,3,0,0,0,83,0,0,1,0,0,0,0,0,3
13,גבעת ברנר,147,1875,1412,4,1408,249,2,6,0,1,0,6,31,0,1,0,0,0,0,0,9,33,131,195,0,0,0,735,0,3,0,0,0,0,1,1,4
10,תל מונד,154,9348,7078,28,7050,396,45,6,0,0,0,16,407,0,7,0,0,0,0,0,85,279,1696,376,1,1,0,3552,1,1,0,1,0,0,2,0,178
17,באר טוביה,155,805,664,0,664,55,0,1,0,0,0,33,11,0,0,0,0,0,0,0,3,18,63,56,0,0,0,413,0,4,0,0,0,0,0,0,7
13,עיינות,156,136,53,0,53,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,12,4,0,0,0,17,0,0,0,0,0,0,0,0,0
10,עין ורד,157,1091,879,2,877,58,4,3,0,0,0,78,15,0,0,0,0,0,0,0,3,26,46,103,0,0,0,540,0,0,0,0,0,0,0,0,1
12,נען,158,1295,981,1,980,224,0,3,0,0,0,4,18,0,0,0,0,0,0,0,1,21,48,165,0,0,0,495,0,0,0,0,0,0,1,0,0
13,בית חנן,159,522,404,0,404,39,0,0,0,0,0,35,8,0,1,0,0,0,0,0,1,17,46,33,0,0,0,222,0,0,0,0,0,0,0,0,2
12,חולדה,160,643,523,1,522,75,2,0,0,0,0,2,11,0,2,1,0,0,0,0,2,14,70,67,0,0,0,274,0,1,0,0,0,0,0,0,1
10,חירות,162,932,759,0,759,91,0,3,0,1,0,19,13,0,0,0,0,0,0,0,0,21,30,108,0,0,0,470,0,0,0,0,1,0,0,1,1
17,תימורים,163,636,476,0,476,50,0,1,0,0,0,11,13,0,0,0,0,0,0,0,4,18,48,29,0,0,0,299,0,1,0,0,0,1,0,0,1
5,מלאה,164,278,216,1,215,12,1,0,0,0,0,5,13,0,0,0,0,0,0,0,6,4,129,1,0,0,0,21,0,0,0,0,0,0,0,0,23
5,ניר יפה,165,408,298,0,298,31,0,0,1,0,0,3,9,0,0,0,1,0,0,0,4,8,116,3,0,0,0,107,0,0,0,0,0,0,0,0,15
13,גן יבנה,166,16360,12192,60,12132,702,66,11,5,1,0,53,674,1,22,0,1,0,0,0,223,807,4615,206,1,1,0,3962,2,6,0,0,1,2,1,8,761
10,עין החורש,167,694,555,0,555,89,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,179,0,0,0,271,0,0,0,0,0,0,0,0,1
10,כפר יונה,168,15904,11619,51,11568,647,156,10,4,1,0,18,502,0,17,0,1,0,0,2,167,635,3937,348,1,0,0,4552,1,7,0,0,6,1,0,3,552
10,כפר יעבץ,170,465,369,0,369,6,13,1,0,0,0,6,63,0,0,0,0,0,0,0,26,2,183,3,0,0,0,34,0,0,0,0,0,0,0,0,32
10,פרדסיה,171,4991,3775,7,3768,327,16,0,1,1,0,3,178,0,3,0,0,0,0,0,35,134,908,159,2,0,0,1901,0,1,0,1,0,0,0,1,97
10,גבעת חיים (מאוחד),173,893,672,1,671,156,1,3,0,0,0,2,9,0,1,0,0,0,0,0,2,17,31,146,0,0,0,302,0,0,0,0,0,0,0,0,1
13,נטעים,174,544,415,2,413,51,5,1,0,0,0,5,12,0,2,0,0,0,0,0,0,10,59,36,1,0,0,228,0,1,0,0,0,0,0,0,2
10,אביחיל,175,984,733,1,732,67,0,5,0,0,0,6,22,0,0,0,0,0,0,0,1,24,85,80,1,0,0,432,0,0,0,0,0,0,0,2,7
4,אפיקים,176,1082,715,3,712,180,1,2,0,0,0,3,11,0,2,0,0,0,0,0,2,19,33,76,0,0,0,377,0,1,0,0,0,0,0,3,2
13,כפר ביל''ו,177,868,681,1,680,59,9,2,1,0,0,53,9,0,0,0,0,0,0,0,5,21,58,74,0,0,0,380,0,1,1,0,0,1,0,0,6
8,רמת יוחנן,178,828,562,1,561,88,2,2,0,0,0,1,10,0,0,0,0,0,0,0,4,20,30,96,0,0,0,307,0,1,0,0,0,0,0,0,0
10,אבן יהודה,182,9906,7512,12,7500,547,52,13,1,0,0,6,255,0,8,1,2,0,0,0,52,304,1584,572,1,0,0,3956,0,0,0,0,0,0,0,3,143
19,ירקונה,183,311,227,0,227,19,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,6,23,29,0,0,0,132,0,0,0,0,0,0,0,0,1
19,רמת הכובש,184,659,526,0,526,90,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,14,19,106,0,0,0,288,0,0,0,0,0,0,1,0,2
10,נעורים,186,195,73,1,72,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,11,2,0,0,0,44,0,0,0,0,0,0,0,0,1
10,כפר הס,187,1051,810,0,810,96,0,5,0,0,0,23,12,0,1,0,0,0,0,0,1,13,44,119,0,0,0,494,0,0,0,0,0,1,0,0,1
4,אשדות יעקב  (מאוחד),188,516,345,1,344,84,0,0,0,1,0,2,9,0,0,0,0,0,0,0,7,17,49,26,0,0,0,146,0,0,0,0,0,0,0,0,3
9,כפר פינס,189,376,302,0,302,3,3,0,0,0,0,1,208,0,0,0,0,0,0,0,13,3,50,1,0,0,0,19,0,0,0,0,0,0,1,0,0
10,כפר ויתקין,190,1402,1059,2,1057,115,4,2,0,0,0,43,12,0,0,0,0,0,0,0,1,22,46,188,0,0,0,624,0,0,0,0,0,0,0,0,0
10,הדר עם,191,511,413,0,413,33,2,2,0,0,0,1,6,0,2,0,0,0,0,0,1,20,36,61,0,0,0,248,0,0,0,0,0,0,0,0,1
5,כפר החורש,192,479,359,2,357,53,0,0,1,0,0,2,7,0,0,0,0,0,0,0,5,25,28,55,0,0,0,180,0,0,0,0,0,0,0,0,1
10,כפר חיים,193,422,331,0,331,39,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,6,29,43,0,0,0,204,0,0,1,0,0,0,0,0,0
10,משמר השרון,194,515,348,0,348,64,1,2,0,0,0,3,4,0,0,0,1,0,0,0,1,6,13,102,0,0,0,149,0,0,0,0,0,0,1,0,1
10,קדימה-צורן,195,15422,11682,24,11658,736,57,17,4,0,0,31,398,3,7,1,0,0,0,0,128,618,2511,697,2,1,0,5815,5,1,1,0,2,2,0,3,618
13,גיבתון,196,260,207,0,207,27,2,1,0,0,0,2,9,0,0,0,0,0,0,0,2,8,23,23,0,0,0,110,0,0,0,0,0,0,0,0,0
10,מעברות,197,738,568,1,567,68,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,6,15,230,0,0,0,237,0,0,0,1,1,0,0,0,1
19,צופית,198,804,593,0,593,61,3,1,0,0,0,38,5,0,0,0,0,0,0,0,1,14,38,84,0,0,0,346,1,0,0,0,0,0,0,0,1
4,אשדות יעקב  (איחוד),199,647,476,0,476,97,0,0,0,0,0,0,19,0,1,0,0,0,0,0,1,16,53,32,0,0,0,256,0,0,0,0,0,0,0,1,0
10,בית ינאי,200,303,193,0,193,16,0,4,0,0,0,3,2,0,0,0,0,0,0,0,0,5,12,31,0,0,0,120,0,0,0,0,0,0,0,0,0
13,בית עובד,202,249,190,0,190,17,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,6,12,28,0,0,0,122,0,0,0,0,0,0,0,0,0
10,אלישיב,204,467,353,1,352,12,1,0,0,0,0,1,37,0,2,0,0,0,0,0,11,8,163,9,0,0,0,84,0,0,0,0,0,1,0,0,23
10,חגלה,205,506,401,0,401,50,0,0,0,0,0,2,9,0,0,0,0,0,0,0,4,7,20,66,0,0,0,242,0,0,0,0,0,0,0,1,0
19,רמות השבים,206,1169,876,1,875,61,2,1,0,2,0,6,20,0,1,0,0,0,0,0,5,33,59,128,0,0,0,548,0,4,0,0,0,0,0,0,5
19,גבעת ח''ן,207,303,251,2,249,32,0,1,0,0,0,23,4,0,0,0,0,0,0,0,1,5,12,34,0,0,0,136,0,1,0,0,0,0,0,0,0
2,מוצא עילית,208,906,642,0,642,70,0,9,0,0,0,4,11,0,0,1,0,0,0,0,5,27,91,108,0,0,0,306,0,1,0,0,0,0,0,1,8
9,בית צבי,212,74,36,0,36,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,משמרות,213,585,467,0,467,72,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,6,30,73,0,0,0,274,0,0,0,0,0,0,0,0,1
10,כפר הרא''ה,217,729,581,0,581,18,12,0,0,0,0,3,331,0,0,0,0,0,0,0,35,2,92,5,0,0,0,70,0,1,0,0,0,0,0,0,12
19,גני עם,218,212,167,0,167,27,0,1,0,0,0,4,6,0,0,0,0,0,0,0,1,6,16,19,0,0,0,86,0,0,0,0,0,0,0,0,1
10,חיבת ציון,219,448,368,1,367,37,2,0,0,0,0,13,47,0,2,0,0,0,0,0,5,11,40,26,0,0,0,181,0,0,0,0,0,0,0,0,3
8,כפר ביאליק,220,471,360,0,360,23,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,16,84,17,0,0,0,201,0,0,0,0,0,0,0,0,4
9,עין עירון,223,405,330,0,330,25,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,3,20,70,0,0,0,203,0,0,0,0,0,0,0,0,1
10,שושנת העמקים,224,446,315,4,311,23,1,1,0,0,0,0,10,0,0,0,0,0,0,0,5,7,115,9,0,0,0,104,0,0,0,0,0,0,0,0,36
9,גן השומרון,225,628,502,0,502,58,0,2,0,0,0,7,8,0,2,0,0,0,0,0,2,13,54,75,0,0,0,278,0,0,0,0,0,1,0,0,2
11,גני תקווה,229,14410,11227,31,11196,755,264,20,1,0,0,6,537,0,8,0,0,0,0,0,114,461,2371,594,2,1,0,5169,1,3,0,2,1,1,1,3,881
11,מעש,230,687,539,4,535,30,5,1,0,0,0,38,28,0,0,0,0,0,0,0,3,18,90,39,0,0,0,274,0,0,0,1,0,0,0,0,8
10,שפיים,232,984,757,2,755,145,1,8,0,0,0,3,7,0,1,0,0,0,0,0,0,13,23,141,0,0,0,413,0,0,0,0,0,0,0,0,0
10,כפר ידידיה,233,484,395,1,394,40,0,0,0,0,0,2,5,0,0,0,0,0,0,0,3,5,30,46,0,0,0,263,0,0,0,0,0,0,0,0,0
17,ביצרון,234,883,695,0,695,70,4,0,0,0,0,115,15,0,1,0,1,0,0,0,4,12,67,46,0,0,0,355,0,1,0,1,0,0,0,0,3
10,חבצלת השרון,235,344,216,2,214,17,0,1,0,0,0,3,2,0,0,0,0,0,0,0,3,11,43,24,0,0,0,99,0,0,0,0,0,0,0,0,11
8,שער העמקים,237,552,436,0,436,46,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,19,6,163,0,0,0,196,0,0,0,0,0,2,0,0,0
19,גן חיים,239,542,433,0,433,48,1,3,0,0,0,7,9,0,0,0,0,0,0,0,1,17,37,46,0,0,0,263,0,0,0,0,0,0,0,1,0
5,יקנעם עילית,240,17875,12414,75,12339,721,121,8,8,4,0,4,530,1,20,0,3,4,0,1,173,1707,4281,331,2,1,0,3914,3,8,1,1,7,3,8,9,465
5,יקנעם (מושבה),241,1018,772,1,771,73,1,2,0,0,0,7,25,0,0,1,0,0,0,0,3,25,55,125,0,1,0,446,0,0,0,0,0,0,0,2,5
5,בית השיטה,242,1038,766,1,765,165,1,1,0,1,0,0,23,0,0,0,0,0,0,0,11,17,42,69,0,0,0,435,0,0,0,0,0,0,0,0,0
18,נתיבות,246,23036,17413,116,17297,247,1281,4,6,3,0,7,907,1,8,1,4,2,0,5,907,1100,5184,28,5,2,0,759,2,18,0,0,2,2,3,4,6805
10,רשפון,247,874,683,4,679,37,0,1,0,0,0,89,7,0,1,0,0,0,0,0,2,33,62,90,0,0,0,355,0,0,1,0,0,0,0,1,0
5,בית שערים,248,475,383,1,382,36,0,1,0,0,0,1,14,0,0,0,0,0,0,0,2,7,51,35,0,0,0,235,0,0,0,0,0,0,0,0,0
11,כפר סירקין,249,971,807,3,804,45,1,2,0,0,0,70,16,0,0,0,0,0,0,0,2,31,85,52,0,0,0,496,0,0,0,0,0,0,0,0,4
5,הזורע,250,899,631,1,630,68,1,4,0,1,0,1,13,0,2,0,0,0,0,0,4,8,21,208,0,0,0,292,0,0,0,0,0,0,0,0,7
10,ביתן אהרן,252,193,75,0,75,5,2,0,0,0,0,5,4,0,0,0,0,0,0,0,2,5,6,6,0,0,0,39,0,0,0,0,0,0,0,0,1
3,חולתה,253,446,332,0,332,82,1,0,0,0,0,2,7,0,0,0,0,0,0,0,6,10,19,44,1,0,0,156,0,0,2,0,0,0,0,1,1
8,כפר המכבי,254,307,212,0,212,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,14,24,0,0,0,127,0,0,0,0,0,0,0,0,1
