 שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
אבטין, 000652, 0002.0, 000483, 000164, 000003, 000161, 000001, 000001, 000056, 000000, 000000, 000000, 000013, 000000, 000000, 000000, 000000, 000000, 000003, 000000, 000009, 000000, 000000, 000000, 000000, 000068, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000001, 000001, 000002, 000000, 000000, 000000, 000005
אבטין, 000652, 0003.0, 000555, 000307, 000006, 000301, 000000, 000000, 000154, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000001, 000001, 000006, 000000, 000000, 000000, 000000, 000132, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000002
אבטליון, 001275, 0001.0, 000190, 000147, 000001, 000146, 000053, 000000, 000000, 000000, 000000, 000000, 000003, 000008, 000000, 000000, 000005, 000000, 000003, 000015, 000016, 000000, 000000, 000000, 000000, 000000, 000000, 000025, 000000, 000000, 000000, 000000, 000000, 000002, 000014, 000000, 000000, 000002, 000000, 000000
אביאל, 000679, 0001.0, 000493, 000400, 000000, 000400, 000070, 000001, 000000, 000000, 000000, 000000, 000001, 000020, 000000, 000001, 000013, 000000, 000009, 000084, 000038, 000000, 000000, 000001, 000000, 000000, 000000, 000106, 000001, 000001, 000000, 000000, 000000, 000004, 000035, 000000, 000000, 000009, 000005, 000001
אביבים, 001115, 0001.0, 000315, 000200, 000002, 000198, 000004, 000004, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000027, 000000, 000007, 000070, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000002, 000002, 000000, 000000, 000003, 000000, 000074
אביגדור, 000819, 0001.0, 000568, 000457, 000001, 000456, 000135, 000000, 000000, 000000, 000000, 000000, 000001, 000007, 000000, 000001, 000028, 000000, 000011, 000042, 000048, 000000, 000000, 000003, 000000, 000000, 000000, 000102, 000001, 000000, 000000, 000000, 000000, 000004, 000059, 000000, 000000, 000004, 000001, 000009
אביחיל, 000175, 0001.0, 000430, 000310, 000004, 000306, 000062, 000000, 000000, 000000, 000001, 000000, 000001, 000008, 000000, 000000, 000022, 000000, 000021, 000033, 000034, 000000, 000000, 000000, 000000, 000000, 000000, 000079, 000000, 000000, 000000, 000001, 000000, 000003, 000037, 000000, 000000, 000002, 000002, 000000
אביחיל, 000175, 0002.0, 000522, 000415, 000003, 000412, 000095, 000000, 000000, 000000, 000000, 000000, 000001, 000011, 000000, 000000, 000013, 000000, 000023, 000038, 000045, 000000, 000000, 000001, 000000, 000000, 000000, 000113, 000000, 000000, 000000, 000000, 000000, 000006, 000054, 000000, 000000, 000007, 000002, 000003
אביטל, 002052, 0001.0, 000376, 000262, 000001, 000261, 000019, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000054, 000000, 000010, 000097, 000001, 000000, 000000, 000037, 000000, 000000, 000000, 000015, 000002, 000000, 000000, 000000, 000000, 000001, 000003, 000000, 000001, 000004, 000000, 000016
אביעזר, 001070, 0001.0, 000458, 000363, 000004, 000359, 000045, 000000, 000001, 000000, 000000, 000000, 000001, 000007, 000000, 000001, 000063, 000002, 000001, 000087, 000020, 000000, 000000, 000008, 000000, 000000, 000001, 000056, 000005, 000000, 000000, 000000, 000000, 000017, 000018, 000000, 000000, 000003, 000001, 000022
אבירים, 001220, 0001.0, 000162, 000127, 000001, 000126, 000027, 000002, 000000, 000000, 000000, 000000, 000006, 000004, 000000, 000000, 000005, 000000, 000001, 000009, 000032, 000000, 000000, 000003, 000000, 000000, 000000, 000016, 000000, 000000, 000000, 000000, 000000, 000000, 000013, 000000, 000000, 000005, 000000, 000003
אבן יהודה, 000182, 0001.0, 000726, 000548, 000004, 000544, 000096, 000004, 000000, 000000, 000000, 000000, 000000, 000008, 000000, 000000, 000051, 000000, 000015, 000088, 000051, 000000, 000000, 000007, 000000, 000000, 000000, 000137, 000007, 000000, 000000, 000000, 000000, 000005, 000044, 000000, 000000, 000005, 000000, 000026
אבן יהודה, 000182, 0002.0, 000529, 000375, 000002, 000373, 000060, 000002, 000000, 000000, 000000, 000000, 000001, 000007, 000000, 000000, 000027, 000000, 000011, 000118, 000019, 000000, 000001, 000006, 000000, 000000, 000000, 000063, 000002, 000000, 000000, 000000, 000000, 000007, 000021, 000000, 000001, 000002, 000000, 000025
אבן יהודה, 000182, 0003.0, 000763, 000622, 000002, 000620, 000127, 000002, 000001, 000000, 000000, 000000, 000002, 000007, 000000, 000001, 000023, 000002, 000008, 000100, 000070, 000000, 000000, 000002, 000000, 000000, 000000, 000197, 000002, 000001, 000000, 000000, 000000, 000008, 000053, 000000, 000000, 000005, 000001, 000008
אבן יהודה, 000182, 0004.0, 000705, 000539, 000007, 000532, 000135, 000002, 000000, 000000, 000001, 000000, 000001, 000007, 000000, 000004, 000022, 000000, 000016, 000078, 000041, 000000, 000000, 000003, 000000, 000000, 000000, 000172, 000000, 000000, 000000, 000000, 000000, 000007, 000036, 000001, 000001, 000002, 000000, 000003
אבן יהודה, 000182, 0005.0, 000577, 000392, 000006, 000386, 000075, 000003, 000000, 000000, 000000, 000000, 000000, 000003, 000000, 000000, 000030, 000000, 000010, 000089, 000023, 000000, 000000, 000004, 000000, 000000, 000000, 000091, 000007, 000000, 000000, 000000, 000000, 000005, 000030, 000000, 000000, 000005, 000001, 000010
אבן יהודה, 000182, 0006.0, 000659, 000539, 000001, 000538, 000100, 000005, 000000, 000000, 000000, 000000, 000001, 000008, 000000, 000000, 000018, 000000, 000008, 000076, 000047, 000000, 000000, 000003, 000000, 000000, 000000, 000221, 000000, 000000, 000000, 000000, 000000, 000002, 000042, 000000, 000000, 000004, 000001, 000002
אבן יהודה, 000182, 0007.0, 000534, 000447, 000000, 000447, 000055, 000000, 000000, 000000, 000000, 000000, 000000, 000007, 000000, 000000, 000012, 000000, 000012, 000088, 000031, 000000, 000000, 000004, 000000, 000000, 000000, 000177, 000000, 000000, 000000, 000001, 000000, 000009, 000047, 000000, 000000, 000002, 000000, 000002
אבן יהודה, 000182, 0008.0, 000483, 000342, 000003, 000339, 000036, 000005, 000000, 000000, 000000, 000000, 000003, 000004, 000000, 000001, 000045, 000000, 000006, 000115, 000003, 000000, 000000, 000002, 000001, 000000, 000000, 000044, 000019, 000000, 000000, 000001, 000000, 000008, 000015, 000000, 000000, 000008, 000000, 000023
אבן יהודה, 000182, 0009.0, 000482, 000380, 000001, 000379, 000104, 000000, 000000, 000000, 000000, 000000, 000001, 000006, 000000, 000000, 000015, 000000, 000011, 000040, 000036, 000000, 000000, 000001, 000000, 000000, 000001, 000118, 000000, 000000, 000000, 000000, 000000, 000006, 000034, 000000, 000000, 000005, 000000, 000001
אבן יהודה, 000182, 0010.0, 000659, 000487, 000003, 000484, 000083, 000002, 000000, 000000, 000000, 000000, 000001, 000007, 000000, 000000, 000031, 000000, 000019, 000109, 000030, 000000, 000000, 000006, 000000, 000001, 000000, 000119, 000004, 000000, 000000, 000000, 000000, 000012, 000033, 000000, 000000, 000009, 000001, 000017
אבן יהודה, 000182, 0011.0, 000719, 000558, 000002, 000556, 000127, 000002, 000000, 000000, 000000, 000000, 000001, 000007, 000000, 000000, 000019, 000000, 000010, 000072, 000053, 000000, 000000, 000000, 000000, 000000, 000000, 000200, 000001, 000000, 000000, 000000, 000000, 000004, 000042, 000000, 000000, 000011, 000004, 000003
אבן יהודה, 000182, 0012.0, 000468, 000358, 000003, 000355, 000087, 000000, 000000, 000000, 000000, 000000, 000002, 000006, 000000, 000001, 000015, 000000, 000004, 000053, 000049, 000000, 000000, 000001, 000000, 000000, 000001, 000088, 000002, 000000, 000000, 000000, 000000, 000004, 000037, 000000, 000001, 000001, 000001, 000002
אבן יהודה, 000182, 0013.0, 000448, 000335, 000003, 000332, 000025, 000007, 000000, 000000, 000000, 000000, 000000, 000005, 000000, 000000, 000081, 000000, 000007, 000108, 000007, 000000, 000000, 000006, 000000, 000000, 000000, 000029, 000011, 000000, 000000, 000001, 000000, 000006, 000011, 000000, 000000, 000010, 000001, 000017
אבן יהודה, 000182, 0014.0, 000532, 000428, 000000, 000428, 000074, 000006, 000000, 000000, 000000, 000000, 000001, 000007, 000000, 000002, 000016, 000000, 000005, 000047, 000049, 000000, 000000, 000000, 000000, 000000, 000000, 000149, 000000, 000001, 000000, 000000, 000000, 000011, 000047, 000000, 000000, 000003, 000001, 000009
אבן יהודה, 000182, 0015.0, 000564, 000448, 000001, 000447, 000075, 000000, 000000, 000000, 000001, 000000, 000000, 000011, 000000, 000000, 000016, 000000, 000010, 000063, 000040, 000000, 000000, 000000, 000000, 000000, 000000, 000182, 000000, 000000, 000000, 000000, 000000, 000001, 000043, 000000, 000000, 000004, 000001, 000000
אבן מנחם, 001081, 0001.0, 000265, 000163, 000001, 000162, 000006, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000004, 000000, 000010, 000060, 000005, 000000, 000000, 000000, 000000, 000000, 000000, 000014, 000000, 000000, 000000, 000000, 000000, 000010, 000006, 000000, 000000, 000002, 000001, 000043
אבן ספיר, 000783, 0001.0, 000468, 000332, 000003, 000329, 000029, 000000, 000000, 000000, 000000, 000000, 000001, 000002, 000000, 000001, 000025, 000000, 000025, 000184, 000006, 000000, 000000, 000004, 000000, 000000, 000000, 000009, 000000, 000000, 000000, 000000, 000000, 000006, 000010, 000000, 000000, 000008, 000003, 000016
אבן שמואל, 000400, 0001.0, 000477, 000418, 000004, 000414, 000002, 000009, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000001, 000245, 000000, 000001, 000036, 000000, 000000, 000000, 000035, 000000, 000000, 000000, 000003, 000005, 000000, 000000, 000000, 000000, 000010, 000002, 000000, 000000, 000003, 000000, 000061
אבני איתן, 004011, 0001.0, 000354, 000272, 000000, 000272, 000004, 000002, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000154, 000000, 000001, 000031, 000000, 000000, 000000, 000042, 000000, 000000, 000000, 000004, 000010, 000000, 000000, 000000, 000000, 000010, 000001, 000000, 000001, 000001, 000001, 000010
אבני חפץ, 003793, 0001.0, 000767, 000644, 000004, 000640, 000001, 000004, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000390, 000000, 000001, 000058, 000000, 000000, 000000, 000091, 000000, 000000, 000000, 000002, 000046, 000000, 000000, 000000, 000000, 000001, 000001, 000000, 000000, 000004, 000000, 000041
אבשלום, 001311, 0001.0, 000170, 000112, 000002, 000110, 000007, 000001, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000004, 000005, 000000, 000064, 000002, 000000, 000000, 000000, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000000, 000000, 000013, 000000, 000000, 000004, 000002, 000003
אדורה, 003759, 0001.0, 000179, 000144, 000000, 000144, 000009, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000053, 000001, 000001, 000030, 000001, 000000, 000000, 000008, 000000, 000000, 000000, 000015, 000000, 000000, 000000, 000000, 000000, 000003, 000019, 000000, 000000, 000001, 000000, 000003
אדירים, 000113, 0001.0, 000188, 000155, 000000, 000155, 000000, 000004, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000024, 000000, 000002, 000039, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000000, 000006, 000000, 000000, 000000, 000002, 000000, 000070
אדמית, 001068, 0001.0, 000271, 000116, 000001, 000115, 000022, 000000, 000000, 000000, 000000, 000001, 000001, 000004, 000000, 000000, 000002, 000000, 000000, 000018, 000035, 000000, 000000, 000000, 000000, 000002, 000000, 000010, 000000, 000000, 000000, 000000, 000000, 000001, 000004, 000000, 000000, 000010, 000001, 000004
אדרת, 001123, 0001.0, 000435, 000322, 000001, 000321, 000015, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000077, 000000, 000003, 000129, 000008, 000000, 000000, 000002, 000000, 000000, 000000, 000007, 000001, 000000, 000000, 000000, 000000, 000017, 000005, 000000, 000000, 000005, 000002, 000049
אודים, 000446, 0001.0, 000685, 000555, 000001, 000554, 000104, 000000, 000000, 000000, 000000, 000000, 000003, 000019, 000000, 000001, 000025, 000000, 000021, 000063, 000066, 000000, 000000, 000002, 000000, 000000, 000000, 000186, 000000, 000000, 000000, 000000, 000000, 000007, 000045, 000000, 000000, 000008, 000002, 000002
אודם, 004010, 0001.0, 000094, 000063, 000000, 000063, 000008, 000000, 000000, 000000, 000000, 000000, 000000, 000004, 000000, 000000, 000005, 000000, 000005, 000011, 000003, 000000, 000000, 000000, 000000, 000000, 000000, 000012, 000000, 000000, 000000, 000000, 000000, 000001, 000011, 000000, 000000, 000003, 000000, 000000
אוהד, 001046, 0001.0, 000231, 000163, 000001, 000162, 000019, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000012, 000000, 000012, 000046, 000008, 000000, 000000, 000004, 000000, 000000, 000000, 000020, 000000, 000000, 000000, 000000, 000000, 000003, 000018, 000000, 000002, 000005, 000000, 000012
אום אל-פחם, 002710, 0001.0, 000573, 000297, 000000, 000297, 000003, 000000, 000077, 000000, 000000, 000000, 000146, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000068, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000001
אום אל-פחם, 002710, 0002.0, 000631, 000615, 000008, 000607, 000003, 000003, 000157, 000000, 000000, 000000, 000173, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000000, 000261, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000004, 000000, 000001, 000000, 000001, 000001
אום אל-פחם, 002710, 0003.0, 000615, 000366, 000003, 000363, 000000, 000000, 000100, 000000, 000000, 000000, 000192, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000067, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000
